reaction_id,reaction_name,subsystem,reaction_layer,source_model,active_group_count,active_groups,n_genes,annotated_genes,ensembl_gene_ids,civicmine_biomarker_rows,civicmine_citation_count,civicmine_prognostic_rows,civicmine_diagnostic_rows,civicmine_predictive_rows,civicmine_predictive_drug_rows,civicmine_unique_drugs,civicmine_unique_cancers,dgidb_interactions,dgidb_unique_drugs,dgidb_approved_drugs,dgidb_publication_pmids,dgidb_max_interaction_score,drugbank_source_interactions,drugbank_source_unique_drugs,opentargets_cancer_assoc_count_top200,opentargets_cancer_max_score_top200,opentargets_cancer_unique_clinical_drugs,opentargets_unique_clinical_drugs,opentargets_cancer_clinical_candidate_rows,matched_civicmine_biomarker_rows,matched_civicmine_predictive_drug_rows,matched_civicmine_active_groups,matched_opentargets_cancer_assoc_count_top200,matched_opentargets_cancer_max_score_top200,matched_opentargets_cancer_clinical_candidate_rows,matched_opentargets_cancer_unique_clinical_drugs,matched_opentargets_active_groups,matched_civicmine_biomarker_rows_present,matched_civicmine_predictive_drug_rows_present,matched_opentargets_cancer_max_score_top200_present,matched_opentargets_cancer_unique_clinical_drugs_present,dgidb_unique_drugs_present,dgidb_approved_drugs_present,drugbank_source_unique_drugs_present,cancer_matched_evidence_score,drug_interaction_evidence_score,total_binary_annotation_score,display_label,rank_score
MAR06783,3-(4-hydroxyphenyl)lactate hydro-lyase (4-coumarate-forming),"Phenylalanine, tyrosine and tryptophan biosynthesis",Cancer-specific,GNN,4,"BLCA,KIRC,LIHC,PRAD",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,3-(4-hydroxyphenyl)lactate hy... | gene not mapped,0.2
MAR04476,ATP:D-gluconate 6-phosphotransferase,Pentose phosphate pathway,Cancer-specific,GNN,3,"BLCA,PAAD,TGCT",1,IDNK,ENSG00000148057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0524803393652276,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,ATP:D-gluconate 6-phosphotran... | IDNK,0.15
MAR07573,MAR07573,Heparan sulfate degradation,Cancer-specific,GNN,3,"LUAD,LUSC,OV",1,GUSB,ENSG00000169919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR07573 | GUSB,0.15
MAR04575,(S)-dihydroorotate:NAD+ oxidoreductase,Pyrimidine metabolism,Cancer-specific,GNN,2,"LIHC,PAAD",1,DHODH,ENSG00000102967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,(S)-dihydroorotate:NAD+ oxido... | DHODH,0.1
MAR05127,MAR05127,Miscellaneous,Cancer-specific,GNN,2,"KIRC,KIRP",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR05127 | gene not mapped,0.1
MAR04328,L-cysteinylglycine dipeptidase,Glutathione metabolism,Cancer-specific,XGBoost,1,OV,3,"ANPEP, LAP3, NPEPPS","ENSG00000002549, ENSG00000141279, ENSG00000166825",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"L-cysteinylglycine dipeptidase | ANPEP, LAP3, NP...",0.05
MAR04470,"5,6-dihydrothymine:NAD+ oxidoreductase",Pyrimidine metabolism,Cancer-specific,GNN,1,KIRC,1,DPYD,ENSG00000188641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"5,6-dihydrothymine:NAD+ oxido... | DPYD",0.05
MAR04472,"5,6-Dihydrothymine:NADP+ oxidoreductase",Pyrimidine metabolism,Cancer-specific,GNN,1,KIRC,1,DPYD,ENSG00000188641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"5,6-Dihydrothymine:NADP+ oxid... | DPYD",0.05
MAR04589,isocitrate hydro-lyase (cis-aconitate-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Cancer-specific,GNN,1,PRAD,1,ACO2,ENSG00000100412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,isocitrate hydro-lyase (cis-a... | ACO2,0.05
MAR04736,"(R)-5,6-dihydrothymine amidohydrolase",Pyrimidine metabolism,Cancer-specific,XGBoost,1,THCA,1,DPYS,ENSG00000147647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"(R)-5,6-dihydrothymine amidoh... | DPYS",0.05
